,session,subject,parent_det_str,child_det_str,child_indef_def_adj_nps
11518,1,38,,a doodle,a doodle
61330,1,100,,the dog,the dog
68459,1,107,,a dink,a dink
79175,1,127,,a ball,a ball
8271,2,29,,the #,the #
14991,2,39,,the leg,the leg
21453,2,44,,a doodle,a doodle
21455,2,44,,a doodle,a doodle
21457,2,44,,a doodle,a doodle
21459,2,44,,a doodle,a doodle
21461,2,44,,a doodle,a doodle
21463,2,44,,a doodle,a doodle
21465,2,44,,a doodle,a doodle
32067,2,55,,a girl,a girl
40349,2,66,,the sky,the sky
54503,2,82,,the banana,the banana
54774,2,82,,the door,the door
54884,2,82,,a piece,a piece
64625,2,92,,the bus,the bus
68800,2,100,,the dog,the dog
73410,2,103,,the moon,the moon
93824,2,143,,the bandaid,the bandaid
100819,2,158,,the #,the #
101176,2,158,,a #,a #
101681,2,158,,the sock,the sock
101848,2,158,,a camel,a camel
102499,2,159,,the boat,the boat
182,3,22,,a airplane,a airplane
8184,3,29,,the pot,the pot
8185,3,29,,the pot,the pot
8453,3,29,,the baby,the baby
8473,3,29,,the baby,the baby
8475,3,29,,the baby,the baby
8476,3,29,,a bye,a bye
8485,3,29,,the baby,the baby
8486,3,29,,the baby,the baby
8487,3,29,,the baby,the baby
8489,3,29,,the baby,the baby
8615,3,29,,a #,a #
8670,3,29,,the car,the car
8671,3,29,,the car,the car
9223,3,29,,the teeth,the teeth
9289,3,29,,the back,the back
9442,3,29,,the monster,the monster
9443,3,29,,the monster,the monster
9481,3,29,,the back,the back
9482,3,29,,the back,the back
9588,3,29,,the baby,the baby
9595,3,29,,the bed,the bed
9596,3,29,,the bed,the bed
9597,3,29,,the bed,the bed
9598,3,29,,the bed,the bed
9826,3,29,,the back,the back
9828,3,29,,the back,the back
9831,3,29,,the back,the back
9832,3,29,,the back,the back
9834,3,29,,the back,the back
9976,3,29,,the back,the back
9977,3,29,,the baby,the baby
10249,3,29,,the baby,the baby
10250,3,29,,the baby,the baby
10253,3,29,,the baby,the baby
12824,3,35,,the bottle,the bottle
13041,3,35,,the baby,the baby
13277,3,35,,the pig,the pig
13667,3,35,,the cereal,the cereal
13938,3,35,,the bus,the bus
14016,3,35,,the water,the water
14059,3,35,,the water,the water
14206,3,35,,the garbage,the garbage
14259,3,35,,the house,the house
14390,3,35,,a hole,a hole
14437,3,35,,the tiger,the tiger
14554,3,35,,a hole,a hole
14560,3,35,,a hole,a hole
14561,3,35,,a hole,a hole
14619,3,35,,the stairs,the stairs
14644,3,35,,the animals,the animals
16416,3,38,,a hat,a hat
16455,3,38,,a baby,a baby
17015,3,38,,the house,the house
17629,3,39,,a pillow,a pillow
18220,3,39,,a hug,a hug
18361,3,39,,the car,the car
18747,3,39,,the #,the #
19005,3,39,,the chair,the chair
19012,3,39,,the chair,the chair
19070,3,39,,a cracker,a cracker
19243,3,39,,the stairs,the stairs
19266,3,39,,the door,the door
19343,3,39,,the car,the car
23447,3,43,,the angel,the angel
23448,3,43,,the angel,the angel
23896,3,43,,a booboo,a booboo
24009,3,43,,the birdies,the birdies
24508,3,43,,the train,the train
25170,3,44,,a eye,a eye
25232,3,44,,a nose,a nose
25241,3,44,,the cup,the cup
25554,3,44,,a #,a #
25556,3,44,,a #,a #
25724,3,44,,the #,the #
25856,3,44,,the doll,the doll
25960,3,44,,a picture,a picture
26095,3,44,,a belt,a belt
36462,3,54,,the knife,the knife
36515,3,54,,the water,the water
36602,3,54,,the water,the water
36629,3,54,,the water,the water
36631,3,54,,the water,the water
36708,3,54,,the water,the water
36709,3,54,,the water,the water
36956,3,54,,the freezer,the freezer
38594,3,55,,the bucket,the bucket
38711,3,55,,a bathroom,a bathroom
38712,3,55,,a bath,a bath
38714,3,55,,a bathroom,a bathroom
41815,3,61,,a book,a book
46961,3,66,,a doggie,a doggie
47027,3,66,,a teddy,a teddy
47097,3,66,,the house,the house
47100,3,66,,the house,the house
47145,3,66,,the house,the house
47148,3,66,,the house,the house
47151,3,66,,the house,the house
47154,3,66,,the house,the house
47156,3,66,,the house,the house
47209,3,66,,a castle,a castle
47212,3,66,,a castle,a castle
47214,3,66,,a present,a present
47242,3,66,,the table,the table
47257,3,66,,the table,the table
47259,3,66,,the table,the table
47285,3,66,,a #,a #
48112,3,68,,the hair,the hair
53742,3,76,,a book,a book
53992,3,76,,the truck,the truck
57082,3,80,,the bird,the bird
57878,3,80,,a book,a book
59230,3,82,,the popsicle,the popsicle
59996,3,82,,a papa,a papa
60400,3,82,,the picture,the picture
60441,3,82,,a bite,a bite
60566,3,82,,a shutup,a shutup
60580,3,82,,a ant,a ant
60684,3,82,,a popsicle,a popsicle
63465,3,85,,a moon,a moon
63764,3,85,,a duck,a duck
63765,3,85,,a car,a car
64464,3,85,,a B,a B
65843,3,88,,the car,the car
65844,3,88,,a car,a car
66318,3,88,,a #,a #
66797,3,89,,the baby,the baby
67544,3,89,,a booboo,a booboo
67545,3,89,,a booboo,a booboo
67564,3,89,,a booboo,a booboo
67707,3,91,,the one,the one
67895,3,91,,a take,a take
67928,3,91,,the pot,the pot
67952,3,91,,a one,a one
67954,3,91,,the pot,the pot
68041,3,91,,the water,the water
68045,3,91,,a drink,a drink
68051,3,91,,a bowl,a bowl
68053,3,91,,a bowl,a bowl
68072,3,91,,a spiderweb,a spiderweb
68095,3,91,,a #,a #
68105,3,91,,a down,a down
68180,3,91,,the dot,the dot
68237,3,91,,the pot,the pot
68239,3,91,,the pot,the pot
68247,3,91,,a one,a one
68281,3,91,,the deck,the deck
68350,3,91,,a water,a water
68361,3,91,,the gummy,the gummy
68372,3,91,,a that,a that
68430,3,91,,a read,a read
68485,3,91,,a yellow,a yellow
68505,3,91,,the page,the page
68518,3,91,,a that,a that
68676,3,91,,the page,the page
68684,3,91,,a fly,a fly
68698,3,91,,a go,a go
68724,3,91,,the monkey,the monkey
68858,3,91,,a #,a #
68915,3,91,,the page,the page
68935,3,91,,a stair,a stair
69027,3,91,,a spinningtop,a spinningtop
69030,3,91,,a basement,a basement
69044,3,91,,a basement,a basement
69068,3,91,,a one,a one
69117,3,91,,a tower,a tower
69126,3,91,,the door,the door
69138,3,91,,the house,the house
69157,3,91,,the that,the that
69165,3,91,,a block,a block
69166,3,91,,a block,a block
69169,3,91,,a block,a block
69175,3,91,,the tower,the tower
69192,3,91,,the house,the house
69221,3,91,,a toe,a toe
69225,3,91,,a toe,a toe
69237,3,91,,the tower,the tower
69255,3,91,,a bottle,a bottle
69257,3,91,,a bottle,a bottle
69260,3,91,,a that,a that
69413,3,91,,a stroller,a stroller
69429,3,91,,a duckie,a duckie
69576,3,92,,the car,the car
69593,3,92,,a towtruck,a towtruck
69856,3,92,,the barn,the barn
69858,3,92,,a door,a door
69860,3,92,,a door,a door
69893,3,92,,the toe,the toe
69943,3,92,,the eye,the eye
70081,3,92,,the black,the black
70216,3,92,,a elephant,a elephant
70631,3,92,,the window,the window
70705,3,92,,a drink,a drink
70977,3,92,,a melon,a melon
71069,3,92,,a #,a #
71070,3,92,,a #,a #
71099,3,92,,a #,a #
71117,3,92,,the dolphins,the dolphins
71121,3,92,,the pants,the pants
71165,3,92,,the top,the top
71167,3,92,,a truck,a truck
71171,3,92,,a truck,a truck
71244,3,92,,the wheels,the wheels
71295,3,92,,the hill,the hill
73378,3,94,,the book,the book
73432,3,94,,the bunny,the bunny
73433,3,94,,the bunny,the bunny
73532,3,94,,the man,the man
73979,3,94,,the car,the car
74031,3,94,,the bunny,the bunny
74131,3,94,,the car,the car
74274,3,94,,a snack,a snack
74745,3,94,,the octopus,the octopus
74885,3,94,,the sun,the sun
75440,3,100,,a walk,a walk
75924,3,100,,the duck,the duck
75926,3,100,the duck,the duck,the duck
76234,3,100,,a birdie,a birdie
76485,3,100,,a door,a door
76643,3,100,,the door,the door
76665,3,100,,the door,the door
76682,3,100,,the door,the door
76685,3,100,,the door,the door
76687,3,100,,the door,the door
76750,3,100,,a pocket,a pocket
76762,3,100,,the door,the door
76763,3,100,,the door,the door
77158,3,100,,a milk,a milk
77314,3,100,,a elephants,a elephants
78985,3,102,,the baby,the baby
79163,3,103,,the bottle,the bottle
79180,3,103,,the top,the top
79237,3,103,,a butterfly,a butterfly
79248,3,103,,the milkie,the milkie
79250,3,103,,the green,the green
79253,3,103,,a #,a #
79258,3,103,,a butterfly,a butterfly
79263,3,103,,a eye,a eye
79276,3,103,,the flowers,the flowers
79362,3,103,,a moon,a moon
79373,3,103,,a sock,a sock
79375,3,103,,a sock,a sock
79392,3,103,,the butterfly,the butterfly
79395,3,103,,a birdie,a birdie
79417,3,103,,the hand,the hand
79445,3,103,,a brown,a brown
79587,3,103,,a apron,a apron
79603,3,103,,the fridge,the fridge
79640,3,103,,a one,a one
79703,3,103,,the pool,the pool
79707,3,103,,the air,the air
79980,3,103,,the chocolate,the chocolate
79993,3,103,,the bacon,the bacon
80055,3,103,,the garbage,the garbage
80147,3,103,,a castle,a castle
80210,3,103,,the man,the man
80238,3,103,,the baby,the baby
80242,3,103,,the baby,the baby
80268,3,103,,a story,a story
80303,3,103,,a bow,a bow
80423,3,103,,a page,a page
80425,3,103,,a page,a page
80505,3,103,,a waffle,a waffle
80513,3,103,,a waffle,a waffle
80859,3,103,,a binkie,a binkie
80890,3,103,,the shirt,the shirt
80980,3,103,,a scratch,a scratch
80984,3,103,,a scratch,a scratch
80996,3,103,,the boot,the boot
81035,3,103,,the sneakers,the sneakers
81091,3,103,,a knot,a knot
81297,3,103,,the wall,the wall
82350,3,105,,the juice,the juice
85812,3,107,,the zoo,the zoo
85813,3,107,,the elephant,the elephant
85814,3,107,,the elephant,the elephant
85856,3,107,,the boy,the boy
85859,3,107,,the door,the door
86526,3,108,,the #,the #
86830,3,108,,a bug,a bug
86934,3,108,,a book,a book
86935,3,108,,a book,a book
86938,3,108,,the book,the book
87210,3,108,,the bing,the bing
87313,3,108,,a bing,a bing
87314,3,108,,a bing,a bing
87322,3,108,,a bing,a bing
87501,3,108,,the popsicle,the popsicle
87557,3,108,,the Daddy,the Daddy
87559,3,108,,the Daddy,the Daddy
87739,3,108,,the block,the block
88002,3,108,,a booger,a booger
88033,3,108,,a battery,a battery
88035,3,108,,a battery,a battery
89717,3,110,,a mommy,a mommy
90254,3,110,,a jacket,a jacket
90502,3,110,,a bug,a bug
94997,3,125,,a #,a #
94998,3,125,,a #,a #
95008,3,125,,the #,the #
95030,3,125,,the car,the car
95051,3,125,,a #,a #
95059,3,125,,a ball,a ball
95060,3,125,,a ball,a ball
95061,3,125,,a ball,a ball
95093,3,125,,a #,a #
95318,3,125,,the baby,the baby
95323,3,125,,a #,a #
95352,3,125,,a push,a push
95389,3,125,,a #,a #
95390,3,125,,a #,a #
95391,3,125,,a #,a #
103021,3,141,,a snake,a snake
103027,3,141,,the snake,the snake
103103,3,141,,the watermelon,the watermelon
103384,3,141,,the table,the table
104065,3,142,,the corn,the corn
104149,3,142,,a knife,a knife
104184,3,142,,a quesadilla,a quesadilla
104258,3,142,,the barn,the barn
104266,3,142,,the barn,the barn
104268,3,142,,a dog,a dog
104276,3,142,,a bib,a bib
104397,3,142,,a firetruck,a firetruck
104540,3,142,,the fire,the fire
104541,3,142,,the fire,the fire
104584,3,142,,the ball,the ball
104621,3,142,,a #,a #
104982,3,142,,a bug,a bug
105035,3,142,,a sticker,a sticker
105126,3,142,,a oval,a oval
105128,3,142,,a sticker,a sticker
105190,3,142,,a dollhouse,a dollhouse
105474,3,143,,the tiger,the tiger
105481,3,143,,the kitty,the kitty
105494,3,143,,the puzzle,the puzzle
105508,3,143,,a corner,a corner
105857,3,143,,a kittycat,a kittycat
106164,3,143,,the puzzles,the puzzles
106627,3,143,,the ball,the ball
108004,3,147,,the #,the #
108542,3,147,,a #,a #
108554,3,147,,a car,a car
117730,3,158,,a doggie,a doggie
117777,3,158,,a car,a car
117826,3,158,,the car,the car
117845,3,158,,the fish,the fish
117860,3,158,,a car,a car
117868,3,158,,a monkey,a monkey
117871,3,158,,a car,a car
117874,3,158,,a car,a car
118097,3,158,,a dig,a dig
118459,3,158,,the green,the green
118476,3,158,,a picture,a picture
118517,3,158,,a orange,a orange
118519,3,158,,a orange,a orange
118565,3,158,,the door,the door
118577,3,158,,the door,the door
118600,3,158,,a house,a house
118615,3,158,,the door,the door
118630,3,158,,a doggie,a doggie
118653,3,158,,a #,a #
118654,3,158,,a #,a #
118699,3,158,,the monkey,the monkey
118709,3,158,,the car,the car
118711,3,158,,the monkey,the monkey
118755,3,158,,the car,the car
118757,3,158,,the car,the car
119034,3,159,,the #,the #
119157,3,159,,the mop,the mop
119212,3,159,,the stairs,the stairs
119691,3,159,,the pool,the pool
120487,3,159,,the bus,the bus
121677,3,160,,a duck,a duck
121750,3,160,,the blanket,the blanket
122243,3,160,,a deka,a deka
122434,3,160,,the dozers,the dozers
122684,3,160,,a book,a book
125894,3,166,,a man,a man
126241,3,166,,the way,the way
128720,3,170,,a book,a book
128722,3,170,,a book,a book
128724,3,170,,a book,a book
128941,3,170,,a sheep,a sheep
129042,3,170,,a bird,a bird
129211,3,170,,a baby,a baby
129212,3,170,,a square,a square
129244,3,170,,a heart,a heart
129246,3,170,,a heart,a heart
129312,3,170,,a boat,a boat
129316,3,170,,a baby,a baby
129325,3,170,,a man,a man
129439,3,170,,a baby,a baby
129441,3,170,,the baby,the baby
129526,3,170,,the ball,the ball
131245,3,172,,a #,a #
131615,3,172,,a circle,a circle
132961,3,172,,a heavy,a heavy
